Iterations,Average Reward per Episode,Version
10,-671.549,C++
100,-685.361,C++
1000,-758.478,C++
10000,-598.906,C++
100000,-268.487,C++
10,-696.945,Python
100,-580.674,Python
1000,-685.569,Python
10000,-747.491,Python
100000,-263.038,Python
