Iterations,Training time (seconds),Version
10,7.864,C++
100,12.627,C++
1000,12.494,C++
10000,14.589,C++
100000,21.437,C++
10,8.571,Python
100,12.962,Python
1000,9.059,Python
10000,10.175,Python
100000,63.453,Python
